ID,Severity,Start_Lat,Start_Lng,StartTime,EndTime,Distance(mi),DelayFromTypicalTraffic(mins),DelayFromFreeFlowSpeed(mins),Congestion_Speed,Description,Street,City,County,State,Country,ZipCode,LocalTimeZone,WeatherStation_AirportCode,WeatherTimeStamp,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Precipitation(in),Weather_Event,Weather_Conditions,Duration(mins),StartHour,StartDayOfWeek,IsWeekend,Weather_Encoded
C-1,0,42.410881,-71.147995,2020-11-10 22:54:00+00:00,2020-11-11 00:29:27+00:00,3.990000009536743,0.0,4.0,Moderate,Delays of four minutes and delays increasing on Massachusetts Ave Westbound between MA-2A Massachusetts Ave and US-3 Mass Ave. Average speed 15 mph.,Wyman Ter,Arlington,Middlesex,MA,US,02474-6726,US/Eastern,KBED,2020-11-10T17:51:00.000-05:00,64.0,63.0,29.93,10.0,0.0,,Fair,95.45,22,1,0,19
C-2,0,42.512131,-71.027992,2020-11-10 22:53:00+00:00,2020-11-10 23:33:43+00:00,0.75,1.0,1.0,Moderate,Delays of one minute on Walnut St Southbound between Westway and Sparhawk Dr. Average speed ten mph.,Walnut St,Lynnfield,Essex,MA,US,01940-2653,US/Eastern,KBVY,2020-11-10T17:53:00.000-05:00,66.0,54.0,29.95,10.0,0.0,,Fair,40.71666666666667,22,1,0,19
C-3,1,42.272388,-71.068001,2020-11-10 22:49:00+00:00,2020-11-10 23:39:39+00:00,4.280000209808351,0.0,7.0,Slow,Delays of seven minutes and delays increasing on Dorchester Ave Southbound between Dewar St and Washington St. Average speed ten mph.,Dorchester Ave,Dorchester Center,Suffolk,MA,US,02124,US/Eastern,KMQE,2020-11-10T17:53:00.000-05:00,65.0,70.0,30.05,10.0,0.0,,Fair,50.65,22,1,0,19
C-4,0,42.356911,-71.066254,2020-11-10 22:58:00+00:00,2020-11-10 23:39:39+00:00,0.3799999952316284,0.0,2.0,Slow,Delays of two minutes on Tremont St Westbound between Park St and Beacon St. Average speed ten mph.,Beacon St,Boston,Suffolk,MA,US,02108-3631,US/Eastern,KBOS,2020-11-10T17:54:00.000-05:00,63.0,70.0,30.07,10.0,0.0,,Mostly Cloudy,41.65,22,1,0,104
C-5,1,42.377628,-71.120079,2020-11-10 22:46:00+00:00,2020-11-10 23:39:39+00:00,3.549999952316284,0.0,5.0,Moderate,Delays of five minutes and delays increasing on Massachusetts Ave Westbound in Old Cambridge. Average speed 15 mph.,Massachusetts Ave,Cambridge,Middlesex,MA,US,02138,US/Eastern,KBOS,2020-11-10T17:54:00.000-05:00,63.0,70.0,30.07,10.0,0.0,,Mostly Cloudy,53.65,22,1,0,104
C-6,0,42.42916500000001,-71.04061899999998,2020-11-10 22:54:00+00:00,2020-11-10 23:39:39+00:00,1.7100000381469729,1.0,2.0,Moderate,Delays of two minutes on RT-99 Southbound in Linden. Average speed 15 mph.,Broadway,Malden,Middlesex,MA,US,02148-6021,US/Eastern,KBOS,2020-11-10T17:54:00.000-05:00,63.0,70.0,30.07,10.0,0.0,,Mostly Cloudy,45.65,22,1,0,104
C-7,0,42.502205,-70.979202,2020-11-10 22:38:00+00:00,2020-11-10 23:39:39+00:00,1.820000052452088,2.0,3.0,Slow,Delays of three minutes and delays easing on RT-129 Eastbound between MA-129 Salem St and MA-129 Lynnfield St. Average speed ten mph.,Lynnfield St,Lynn,Essex,MA,US,01904-1412,US/Eastern,KBVY,2020-11-10T17:53:00.000-05:00,66.0,54.0,29.95,10.0,0.0,,Fair,61.65,22,1,0,19
C-8,1,41.860489,-71.40451800000002,2020-11-10 22:59:00+00:00,2020-11-10 23:40:43+00:00,1.4600000381469729,1.0,2.0,Fast,Delays of two minutes on I-95 Southbound between Main St and Exits 24 25 25A-B Branch Ave. Average speed 15 mph.,I-95 S,Pawtucket,Providence,RI,US,02860,US/Eastern,KSFZ,2020-11-10T17:56:00.000-05:00,63.0,87.0,29.64,10.0,0.0,,Fair,41.71666666666667,22,1,0,19
C-9,0,41.871811,-71.41156,2020-11-10 22:41:00+00:00,2020-11-10 23:41:28+00:00,4.929999828338623,2.0,5.0,Moderate,Delays of five minutes and delays increasing on RI-15 Mineral Spring Ave Eastbound between Pensaukee Ave and Fairlawn Ave. Average speed 15 mph.,Legion Dr,Pawtucket,Providence,RI,US,02860-3406,US/Eastern,KSFZ,2020-11-10T17:56:00.000-05:00,63.0,87.0,29.64,10.0,0.0,,Fair,60.46666666666667,22,1,0,19
C-10,0,42.276669,-71.093399,2020-11-10 23:01:00+00:00,2020-11-10 23:41:28+00:00,1.690000057220459,0.0,1.0,Moderate,Delays of one minute on Brush Hill Rd Northbound between MA-138 Blue Hill Ave and MA-28 Blue Hill Ave. Average speed 15 mph.,Blue Hill Ave,Mattapan,Suffolk,MA,US,02126-2250,US/Eastern,KMQE,2020-11-10T17:53:00.000-05:00,65.0,70.0,30.05,10.0,0.0,,Fair,40.46666666666667,23,1,0,19
C-11,0,42.304459,-71.082092,2020-11-10 23:01:00+00:00,2020-11-10 23:41:28+00:00,1.0099999904632568,1.0,2.0,Slow,Delays of two minutes on Columbia Rd Westbound between Hamilton St and Seaver St. Average speed ten mph.,Columbia Rd,Dorchester,Suffolk,MA,US,02121-3307,US/Eastern,KBOS,2020-11-10T17:54:00.000-05:00,63.0,70.0,30.07,10.0,0.0,,Mostly Cloudy,40.46666666666667,23,1,0,104
C-12,0,42.405891,-71.081779,2020-11-10 22:08:00+00:00,2020-11-10 23:43:00+00:00,2.9200000762939453,0.0,4.0,Moderate,Delays of four minutes and delays increasing on RT-28 Northbound between Mcgrath Hwy and MA-28 Fellsway. Average speed 15 mph.,Fellsway,Medford,Middlesex,MA,US,02155-5109,US/Eastern,KBOS,2020-11-10T16:54:00.000-05:00,67.0,61.0,30.05,10.0,0.0,,Mostly Cloudy,95.0,22,1,0,104
C-13,0,42.28732700000001,-71.09034,2020-11-10 23:07:00+00:00,2020-11-11 00:01:31+00:00,2.9600000381469727,1.0,3.0,Moderate,Delays of three minutes and delays easing on Brush Hill Rd Northbound between MA-138 Blue Hill Ave and MA-28 Blue Hill Ave. Average speed 15 mph.,Blue Hill Ave,Dorchester Center,Suffolk,MA,US,02124-3108,US/Eastern,KMQE,2020-11-10T17:53:00.000-05:00,65.0,70.0,30.05,10.0,0.0,,Fair,54.516666666666666,23,1,0,19
C-14,0,42.727291,-71.186989,2020-11-10 23:05:00+00:00,2020-11-10 23:49:47+00:00,1.559999942779541,0.0,2.0,Moderate,Delays of two minutes on RT-28 Southbound in Methuen. Average speed 15 mph.,Broadway,Methuen,Essex,MA,US,01844-3024,US/Eastern,KLWM,2020-11-10T17:54:00.000-05:00,67.0,59.0,29.92,10.0,0.0,,Fair,44.78333333333333,23,1,0,19
C-15,1,42.235577,-71.023247,2020-11-10 22:34:00+00:00,2020-11-11 00:05:46+00:00,2.200000047683716,2.0,2.0,Moderate,Delays of two minutes and delays easing on I-93 Northbound between Exit 6 MA-37 Granite St and Exit 8 Willard St. Average speed 20 mph.,I-93 N,Quincy,Norfolk,MA,US,02169,US/Eastern,KMQE,2020-11-10T17:53:00.000-05:00,65.0,70.0,30.05,10.0,0.0,,Fair,91.76666666666667,22,1,0,19
C-16,0,42.349579,-71.103638,2020-11-10 22:47:00+00:00,2020-11-10 23:55:34+00:00,1.8400000333786009,0.0,2.0,Moderate,Delays of two minutes and delays easing on US-20 Commonwealth Ave Eastbound between US-20 Brighton Ave and Granby St. Average speed 15 mph.,Granby St,Boston,Suffolk,MA,US,02215,US/Eastern,KBOS,2020-11-10T17:54:00.000-05:00,63.0,70.0,30.07,10.0,0.0,,Mostly Cloudy,68.56666666666666,22,1,0,104
C-17,0,42.352707,-71.12958499999998,2020-11-10 22:57:00+00:00,2020-11-11 00:27:29+00:00,1.8799999952316284,0.0,3.0,Slow,Delays of three minutes on US-20 Brighton Ave Eastbound between US-20 Beacon St and US-20 Brighton Ave. Average speed ten mph.,Brighton Ave,Allston,Suffolk,MA,US,02134-2811,US/Eastern,KBOS,2020-11-10T17:54:00.000-05:00,63.0,70.0,30.07,10.0,0.0,,Mostly Cloudy,90.48333333333333,22,1,0,104
C-18,0,42.36422,-71.17875699999998,2020-11-10 23:01:00+00:00,2020-11-10 23:51:29+00:00,1.9299999475479128,0.0,2.0,Moderate,Delays of two minutes and delays increasing on US-20 Beacon St Eastbound between Pilgrim Rd and US-20 Beacon St. Average speed 15 mph.,N Beacon St,Watertown,Middlesex,MA,US,02472-2613,US/Eastern,KBED,2020-11-10T17:51:00.000-05:00,64.0,63.0,29.93,10.0,0.0,,Fair,50.483333333333334,23,1,0,19
C-19,0,42.371593,-71.06302600000002,2020-11-10 23:10:00+00:00,2020-11-10 23:51:29+00:00,0.9499999880790708,0.0,1.0,Slow,Delays of one minute on RT-99 Northbound between Surface Rd and MA-99. Average speed ten mph.,New Rutherford Ave,Charlestown,Suffolk,MA,US,02129,US/Eastern,KBOS,2020-11-10T17:54:00.000-05:00,63.0,70.0,30.07,10.0,0.0,,Mostly Cloudy,41.483333333333334,23,1,0,104
C-20,0,42.516788,-70.90554,2020-11-10 23:13:00+00:00,2020-11-10 23:54:35+00:00,2.220000028610229,1.0,2.0,Moderate,Delays of two minutes on RT-107 Southbound between MA-107 and MA-107 Essex St. Average speed 15 mph.,Essex St,Salem,Essex,MA,US,01970,US/Eastern,KBVY,2020-11-10T17:53:00.000-05:00,66.0,54.0,29.95,10.0,0.0,,Fair,41.583333333333336,23,1,0,19
C-21,0,41.781811,-71.400986,2020-11-10 23:16:00+00:00,2020-11-10 23:56:25+00:00,1.149999976158142,1.0,1.0,Moderate,Delays of one minute on RI-117 Broad St Eastbound between RI-12 Park Ave and Talbot Mnr. Average speed 15 mph.,Wentworth Ave,Cranston,Providence,RI,US,02905-2723,US/Eastern,KPVD,2020-11-10T17:51:00.000-05:00,60.0,86.0,30.07,10.0,0.0,,Fair,40.416666666666664,23,1,0,19
C-22,0,42.400688,-71.06130999999998,2020-11-10 23:15:00+00:00,2020-11-10 23:55:34+00:00,0.959999978542328,0.0,1.0,Slow,Delays of one minute on RT-99 Northbound between MA-99 Alford St and MA-99 Broadway. Average speed ten mph.,Broadway,Everett,Middlesex,MA,US,02149,US/Eastern,KBOS,2020-11-10T17:54:00.000-05:00,63.0,70.0,30.07,10.0,0.0,,Mostly Cloudy,40.56666666666667,23,1,0,104
C-23,1,42.401169,-71.11640899999998,2020-11-10 22:44:00+00:00,2020-11-10 23:56:26+00:00,3.299999952316284,0.0,5.0,Moderate,Delays of five minutes and delays increasing on Broadway Westbound between Broadway Pl and College Ave. Average speed 15 mph.,College Ave,Somerville,Middlesex,MA,US,02144,US/Eastern,KBOS,2020-11-10T17:54:00.000-05:00,63.0,70.0,30.07,10.0,0.0,,Mostly Cloudy,72.43333333333334,22,1,0,104
C-24,2,43.037544,-71.321381,2020-11-10 22:48:00+00:00,2020-11-10 23:55:34+00:00,1.870000004768372,8.0,7.0,Slow,Delays of seven minutes on RT-101 Westbound in Candia Town Of. Average speed five mph.,NH-101 W,Candia,Rockingham,NH,US,03034,US/Eastern,KMHT,2020-11-10T17:53:00.000-05:00,67.0,59.0,29.8,10.0,0.0,,Mostly Cloudy,67.56666666666666,22,1,0,104
C-25,0,42.125229,-71.102173,2020-11-10 23:19:00+00:00,2020-11-11 00:00:49+00:00,1.2799999713897705,0.0,2.0,Moderate,Delays of two minutes on RT-138 Southbound in Stoughton. Average speed 15 mph.,Washington St,Stoughton,Norfolk,MA,US,02072-2906,US/Eastern,KOWD,2020-11-10T17:53:00.000-05:00,65.0,70.0,30.05,10.0,0.0,,Fair,41.81666666666667,23,1,0,19
C-26,0,42.383068,-71.091347,2020-11-10 23:14:00+00:00,2020-11-11 00:00:49+00:00,2.1199998855590816,1.0,3.0,Moderate,Delays of three minutes and delays increasing on RT-28 Southbound between MA-28 Fellsway and MA-28 Mcgrath Hwy. Average speed 15 mph.,McGrath Hwy,Somerville,Middlesex,MA,US,02143-1930,US/Eastern,KBOS,2020-11-10T17:54:00.000-05:00,63.0,70.0,30.07,10.0,0.0,,Mostly Cloudy,46.81666666666667,23,1,0,104
C-27,0,42.618748,-71.28870400000002,2020-11-10 23:13:00+00:00,2020-11-11 00:30:37+00:00,2.390000104904175,4.0,4.0,Fast,Delays of four minutes and delays easing on I-495 Southbound between Exit 39 MA-133 Andover St and Exits 35A-B-C 35C-B-A US-3 Exits 30C-31 31-30B-A. Average speed 15 mph.,I-495 S,Lowell,Middlesex,MA,US,01852,US/Eastern,KLWM,2020-11-10T17:54:00.000-05:00,67.0,59.0,29.92,10.0,0.0,,Fair,77.61666666666666,23,1,0,19
C-28,0,42.97372100000001,-71.453018,2020-11-10 23:10:00+00:00,2020-11-11 00:01:31+00:00,3.5,1.0,4.0,Moderate,Delays of four minutes and delays increasing on RT-28 Northbound between NH-28 Willow St and NH-28 Maple St. Average speed 15 mph.,Maple St,Manchester,Hillsborough,NH,US,03103-5607,US/Eastern,KMHT,2020-11-10T17:53:00.000-05:00,67.0,59.0,29.8,10.0,0.0,,Mostly Cloudy,51.516666666666666,23,1,0,104
C-29,0,42.33889,-71.081131,2020-11-10 23:23:00+00:00,2020-11-11 00:03:39+00:00,3.0699999332427983,0.0,4.0,Moderate,Delays of four minutes on Tremont St Westbound between Cambridge St and Northampton St. Average speed 15 mph.,Northampton St,Boston,Suffolk,MA,US,02118,US/Eastern,KBOS,2020-11-10T17:54:00.000-05:00,63.0,70.0,30.07,10.0,0.0,,Mostly Cloudy,40.65,23,1,0,104
C-30,0,42.560329,-70.926361,2020-11-10 23:09:00+00:00,2020-11-11 00:21:43+00:00,1.8600000143051147,3.0,3.0,Moderate,Delays of three minutes and delays easing on RT-128 Eastbound between MA-114 Andover St and MA-128. Average speed 15 mph.,MA-128 N,Danvers,Essex,MA,US,01923,US/Eastern,KBVY,2020-11-10T17:53:00.000-05:00,66.0,54.0,29.95,10.0,0.0,,Fair,72.71666666666667,23,1,0,19
C-31,2,42.292061,-71.044083,2020-11-10 23:23:00+00:00,2020-11-11 00:26:34+00:00,2.759999990463257,3.0,4.0,Fast,Delays of four minutes and delays easing on I-93 Northbound between Exit 9 Willard St and Exit 13 Victory Rd. Average speed 15 mph.,I-93 N,Dorchester,Suffolk,MA,US,02122,US/Eastern,KBOS,2020-11-10T17:54:00.000-05:00,63.0,70.0,30.07,10.0,0.0,,Mostly Cloudy,63.56666666666667,23,1,0,104
C-32,0,42.30349,-71.085014,2020-11-10 23:12:00+00:00,2020-11-11 00:10:23+00:00,1.2999999523162842,1.0,2.0,Slow,Delays of two minutes on Columbia Rd Westbound between Hamilton St and MA-28 Blue Hill Ave. Average speed ten mph.,Blue Hill Ave,Dorchester,Suffolk,MA,US,02121,US/Eastern,KBOS,2020-11-10T17:54:00.000-05:00,63.0,70.0,30.07,10.0,0.0,,Mostly Cloudy,58.38333333333333,23,1,0,104
C-33,0,42.313702,-71.067947,2020-11-10 23:30:00+00:00,2020-11-11 00:10:23+00:00,1.6399999856948853,0.0,1.0,Slow,Delays of one minute on Columbia Rd Westbound between I-93 Exit 15 and Bellevue St. Average speed 15 mph.,Sayward St,Dorchester,Suffolk,MA,US,02125-2307,US/Eastern,KBOS,2020-11-10T18:54:00.000-05:00,63.0,75.0,30.07,10.0,0.0,,Partly Cloudy,40.38333333333333,23,1,0,109
C-34,0,42.344528,-71.082802,2020-11-10 23:12:00+00:00,2020-11-11 00:08:34+00:00,1.2999999523162842,0.0,1.0,Moderate,Delays of one minute on RT-9 Westbound between Arlington St and MA-9 Huntington Ave. Average speed 15 mph.,Huntington Ave,Boston,Suffolk,MA,US,02115-3123,US/Eastern,KBOS,2020-11-10T17:54:00.000-05:00,63.0,70.0,30.07,10.0,0.0,,Mostly Cloudy,56.56666666666667,23,1,0,104
C-35,0,42.350788,-71.113792,2020-11-10 23:30:00+00:00,2020-11-11 00:27:29+00:00,1.0900000333786009,0.0,1.0,Slow,Delays of one minute and delays easing on US-20 Commonwealth Ave Eastbound between US-20 Brighton Ave and Amory St. Average speed ten mph.,Commonwealth Ave,Boston,Norfolk,MA,US,02215-1278,US/Eastern,KBOS,2020-11-10T18:54:00.000-05:00,63.0,75.0,30.07,10.0,0.0,,Partly Cloudy,57.483333333333334,23,1,0,109
C-36,1,42.381432,-71.11975100000002,2020-11-10 23:26:00+00:00,2020-11-11 00:36:40+00:00,3.9800000190734863,0.0,6.0,Moderate,Delays of six minutes and delays increasing on Massachusetts Ave Westbound in Agassiz-Harvard University. Average speed ten mph.,Massachusetts Ave,Cambridge,Middlesex,MA,US,02138-2706,US/Eastern,KBOS,2020-11-10T18:54:00.000-05:00,63.0,75.0,30.07,10.0,0.0,,Partly Cloudy,70.66666666666667,23,1,0,109
C-37,1,42.299938,-71.113571,2020-11-10 22:59:00+00:00,2020-11-11 00:13:57+00:00,4.789999961853027,2.0,8.0,Slow,Delays of eight minutes and delays increasing on Washington St Southbound between Washington St and Hyde Park Ave. Average speed ten mph.,Hyde Park Ave,Jamaica Plain,Suffolk,MA,US,02130-4168,US/Eastern,KBOS,2020-11-10T17:54:00.000-05:00,63.0,70.0,30.07,10.0,0.0,,Mostly Cloudy,74.95,22,1,0,104
C-38,0,42.321384,-71.053062,2020-11-10 23:21:00+00:00,2020-11-11 00:14:32+00:00,3.5299999713897705,0.0,4.0,Moderate,Delays of four minutes and delays increasing on Columbia Rd Eastbound in Columbia Point. Average speed 15 mph.,Columbia Rd,Dorchester,Suffolk,MA,US,02125,US/Eastern,KBOS,2020-11-10T17:54:00.000-05:00,63.0,70.0,30.07,10.0,0.0,,Mostly Cloudy,53.53333333333333,23,1,0,104
C-39,0,41.860706,-71.466217,2020-11-10 23:19:00+00:00,2020-11-11 00:26:34+00:00,4.940000057220459,2.0,4.0,Moderate,Delays of four minutes on RI-15 Mineral Spring Ave Westbound between San Antonio Way and Elizabeth Dr. Average speed 15 mph.,Monongahela Ave,North Providence,Providence,RI,US,02911,US/Eastern,KSFZ,2020-11-10T17:56:00.000-05:00,63.0,87.0,29.64,10.0,0.0,,Fair,67.56666666666666,23,1,0,19
C-40,0,42.265369,-71.094429,2020-11-10 23:33:00+00:00,2020-11-11 00:15:33+00:00,2.4300000667572017,1.0,3.0,Moderate,Delays of three minutes on RT-28 Southbound between MA-28 Blue Hill Ave and MA-28 Blue Hills Pkwy. Average speed 15 mph.,Blue Hill Ave,Milton,Norfolk,MA,US,02186-1106,US/Eastern,KMQE,2020-11-10T18:53:00.000-05:00,62.0,78.0,30.05,10.0,0.0,,Fair,42.55,23,1,0,19
C-41,1,42.33295800000001,-71.118752,2020-11-10 23:32:00+00:00,2020-11-11 00:18:47+00:00,3.0299999713897705,0.0,5.0,Slow,Delays of five minutes on Harvard Ave Southbound between Franklin St and Washington St. Average speed ten mph.,Davis Ave,Brookline,Norfolk,MA,US,02445-7609,US/Eastern,KBOS,2020-11-10T18:54:00.000-05:00,63.0,75.0,30.07,10.0,0.0,,Partly Cloudy,46.78333333333333,23,1,0,109
C-42,0,42.348808,-71.066551,2020-11-10 22:20:00+00:00,2020-11-11 00:29:27+00:00,2.609999895095825,0.0,4.0,Slow,Delays of four minutes and delays easing on Tremont St Eastbound between MA-28 Tremont St and Charles St. Average speed ten mph.,Tremont St,Boston,Suffolk,MA,US,02116-5613,US/Eastern,KBOS,2020-11-10T16:54:00.000-05:00,67.0,61.0,30.05,10.0,0.0,,Mostly Cloudy,129.45,22,1,0,104
C-43,0,42.395092,-71.12763199999998,2020-11-10 23:44:00+00:00,2020-11-11 00:24:38+00:00,1.5399999618530271,0.0,1.0,Moderate,Delays of one minute on Massachusetts Ave Westbound in North Cambridge. Average speed 15 mph.,Meacham Rd,Cambridge,Middlesex,MA,US,02140-1214,US/Eastern,KBOS,2020-11-10T18:54:00.000-05:00,63.0,75.0,30.07,10.0,0.0,,Partly Cloudy,40.63333333333333,23,1,0,109
C-44,0,42.332554,-71.092926,2020-11-10 23:49:00+00:00,2020-11-11 00:29:27+00:00,1.100000023841858,0.0,1.0,Slow,Delays of one minute on Tremont St Eastbound between MA-9 Huntington Ave and MA-28 Tremont St. Average speed ten mph.,Tremont St,Roxbury Crossing,Suffolk,MA,US,02120,US/Eastern,KBOS,2020-11-10T18:54:00.000-05:00,63.0,75.0,30.07,10.0,0.0,,Partly Cloudy,40.45,23,1,0,109
C-45,0,42.402306,-71.06121800000003,2020-11-10 23:44:00+00:00,2020-11-11 00:36:40+00:00,2.359999895095825,0.0,3.0,Slow,Delays of three minutes and delays increasing on RT-99 Southbound between MA-99 Broadway and MA-16 Revere Beach Pkwy. Average speed ten mph.,Broadway,Everett,Middlesex,MA,US,02149,US/Eastern,KBOS,2020-11-10T18:54:00.000-05:00,63.0,75.0,30.07,10.0,0.0,,Partly Cloudy,52.666666666666664,23,1,0,109
C-46,0,42.342159,-71.08408399999998,2020-11-10 23:53:00+00:00,2020-11-11 00:33:29+00:00,1.2400000095367432,0.0,2.0,Slow,Delays of two minutes on Massachusetts Ave Southbound between MA-2A Massachusetts Ave and St Botolph St. Average speed ten mph.,Massachusetts Ave,Boston,Suffolk,MA,US,02115-2202,US/Eastern,KBOS,2020-11-10T18:54:00.000-05:00,63.0,75.0,30.07,10.0,0.0,,Partly Cloudy,40.483333333333334,23,1,0,109
C-47,0,42.395092,-71.12763199999998,2020-11-10 23:52:00+00:00,2020-11-11 01:03:37+00:00,3.0299999713897705,0.0,3.0,Moderate,Delays of three minutes and delays increasing on Massachusetts Ave Westbound between Bow St and MA-2A Massachusetts Ave. Average speed 15 mph.,Meacham Rd,Cambridge,Middlesex,MA,US,02140-1214,US/Eastern,KBOS,2020-11-10T18:54:00.000-05:00,63.0,75.0,30.07,10.0,0.0,,Partly Cloudy,71.61666666666666,23,1,0,109
C-48,0,42.320732,-71.061768,2020-11-10 23:58:00+00:00,2020-11-11 00:39:05+00:00,1.1299999952316284,0.0,1.0,Moderate,Delays of one minute on Massachusetts Ave Southbound between Rusfield St and Columbia Rd. Average speed ten mph.,Massachusetts Ave,Dorchester,Suffolk,MA,US,02125-1603,US/Eastern,KBOS,2020-11-10T18:54:00.000-05:00,63.0,75.0,30.07,10.0,0.0,,Partly Cloudy,41.083333333333336,23,1,0,109
C-49,0,42.338818,-71.093079,2020-11-11 00:07:00+00:00,2020-11-11 00:47:34+00:00,2.1199998855590816,0.0,3.0,Moderate,Delays of three minutes on RT-9 Westbound between I-90 and MA-9 Huntington Ave. Average speed 15 mph.,Huntington Ave,Boston,Suffolk,MA,US,02115-5523,US/Eastern,KBOS,2020-11-10T18:54:00.000-05:00,63.0,75.0,30.07,10.0,0.0,,Partly Cloudy,40.56666666666667,0,2,0,109
C-50,0,42.304768,-71.08465600000002,2020-11-11 00:06:00+00:00,2020-11-11 00:50:34+00:00,3.3299999237060547,1.0,4.0,Moderate,Delays of four minutes on RT-28 Northbound in Mt Bowdoin. Average speed 15 mph.,Blue Hill Ave,Dorchester,Suffolk,MA,US,02121-3211,US/Eastern,KBOS,2020-11-10T18:54:00.000-05:00,63.0,75.0,30.07,10.0,0.0,,Partly Cloudy,44.56666666666667,0,2,0,109
C-51,0,42.37291,-71.121353,2020-11-10 23:50:00+00:00,2020-11-11 01:00:41+00:00,3.950000047683716,0.0,3.0,Moderate,Delays of three minutes and delays increasing on Massachusetts Ave Eastbound between US-3 Mass Ave and Eliot St. Average speed 15 mph.,Eliot St,Cambridge,Middlesex,MA,US,02138,US/Eastern,KBOS,2020-11-10T18:54:00.000-05:00,63.0,75.0,30.07,10.0,0.0,,Partly Cloudy,70.68333333333334,23,1,0,109
C-52,0,42.383301,-71.091492,2020-11-11 00:21:00+00:00,2020-11-11 01:02:44+00:00,1.6299999952316284,0.0,2.0,Moderate,Delays of two minutes on RT-28 Southbound between MA-28 Fellsway and MA-28 Mcgrath Hwy. Average speed 15 mph.,Greenville St,Somerville,Middlesex,MA,US,02143-1904,US/Eastern,KBOS,2020-11-10T18:54:00.000-05:00,63.0,75.0,30.07,10.0,0.0,,Partly Cloudy,41.733333333333334,0,2,0,109
C-53,0,42.962238,-71.440598,2020-11-11 00:20:00+00:00,2020-11-11 01:02:44+00:00,1.7599999904632568,1.0,2.0,Moderate,Delays of two minutes on RT-28 Southbound between NH-28 Beech St and NH-28. Average speed 15 mph.,S Willow St,Manchester,Hillsborough,NH,US,03103-4029,US/Eastern,KMHT,2020-11-10T18:53:00.000-05:00,67.0,59.0,29.8,10.0,0.0,,Mostly Cloudy,42.733333333333334,0,2,0,104
C-54,0,42.30349,-71.085014,2020-11-11 00:20:00+00:00,2020-11-11 01:11:41+00:00,2.609999895095825,1.0,2.0,Moderate,Delays of two minutes and delays easing on Columbia Rd Westbound between Eastman St and MA-28 Blue Hill Ave. Average speed 15 mph.,Blue Hill Ave,Dorchester,Suffolk,MA,US,02121,US/Eastern,KBOS,2020-11-10T18:54:00.000-05:00,63.0,75.0,30.07,10.0,0.0,,Partly Cloudy,51.68333333333333,0,2,0,109
C-55,0,42.338844,-71.081215,2020-11-11 00:07:00+00:00,2020-11-11 01:07:43+00:00,3.0899999141693115,0.0,4.0,Slow,Delays of four minutes and delays increasing on Tremont St Westbound between Cambridge St and Northampton St. Average speed ten mph.,Northampton St,Boston,Suffolk,MA,US,02118-3502,US/Eastern,KBOS,2020-11-10T18:54:00.000-05:00,63.0,75.0,30.07,10.0,0.0,,Partly Cloudy,60.71666666666667,0,2,0,109
C-56,0,42.315201,-71.078506,2020-11-11 00:30:00+00:00,2020-11-11 01:40:35+00:00,2.5799999237060547,0.0,2.0,Moderate,Delays of two minutes and delays increasing on Blue Hill Ave Northbound between MA-28 Blue Hill Ave and Savin St. Average speed 15 mph.,Blue Hill Ave,Roxbury,Suffolk,MA,US,02119-2158,US/Eastern,KBOS,2020-11-10T19:54:00.000-05:00,62.0,78.0,30.07,10.0,0.0,,Partly Cloudy,70.58333333333333,0,2,0,109
C-57,0,42.321541,-71.05094100000002,2020-11-11 00:17:00+00:00,2020-11-11 01:30:38+00:00,3.5199999809265137,1.0,4.0,Moderate,Delays of four minutes on Columbia Rd Eastbound between Hewins St and Morrissey Blvd. Average speed 15 mph.,Kosciuszko Cir,Dorchester,Suffolk,MA,US,02125,US/Eastern,KBOS,2020-11-10T18:54:00.000-05:00,63.0,75.0,30.07,10.0,0.0,,Partly Cloudy,73.63333333333334,0,2,0,109
C-58,0,42.341434,-71.08644100000002,2020-11-11 00:32:00+00:00,2020-11-11 01:23:44+00:00,3.799999952316284,1.0,4.0,Moderate,Delays of four minutes and delays increasing on RT-9 Eastbound between MA-9 Boylston St and MA-9 Huntington Ave. Average speed 15 mph.,Huntington Ave,Boston,Suffolk,MA,US,02115-5018,US/Eastern,KBOS,2020-11-10T19:54:00.000-05:00,62.0,78.0,30.07,10.0,0.0,,Partly Cloudy,51.733333333333334,0,2,0,109
C-59,0,42.391773,-71.123871,2020-11-11 00:42:00+00:00,2020-11-11 01:24:42+00:00,2.5199999809265137,0.0,2.0,Moderate,Delays of two minutes on Massachusetts Ave Westbound between Bow St and MA-2A Massachusetts Ave. Average speed 15 mph.,Russell St,Cambridge,Middlesex,MA,US,02140,US/Eastern,KBOS,2020-11-10T19:54:00.000-05:00,62.0,78.0,30.07,10.0,0.0,,Partly Cloudy,42.7,0,2,0,109
C-60,0,42.310104,-71.082123,2020-11-11 00:53:00+00:00,2020-11-11 01:33:26+00:00,2.1700000762939453,0.0,3.0,Moderate,Delays of three minutes on Blue Hill Ave Northbound between MA-28 Blue Hill Ave and Stanwood St. Average speed 15 mph.,Blue Hill Ave,Dorchester,Suffolk,MA,US,02121-4308,US/Eastern,KBOS,2020-11-10T19:54:00.000-05:00,62.0,78.0,30.07,10.0,0.0,,Partly Cloudy,40.43333333333333,0,2,0,109
